cod;nome;período;valor
17;TO;2000;5
16;AP;2000;2
15;PA;2000;30
14;RR;2000;9
13;AM;2000;21
12;AC;2000;9
11;RO;2000;19
28;SE;2001;7
27;AL;2001;23
26;PE;2001;127
25;PB;2001;24
24;RN;2001;16
23;CE;2001;47
22;PI;2001;20
21;MA;2001;25
17;TO;2001;10
16;AP;2001;7
15;PA;2001;46
14;RR;2001;3
13;AM;2001;27
12;AC;2001;8
11;RO;2001;32
53;DF;2001;28
52;GO;2001;58
51;MT;2001;43
50;MS;2001;32
43;RS;2001;73
42;SC;2001;25
41;PR;2001;95
35;SP;2001;538
33;RJ;2001;236
32;ES;2001;60
31;MG;2001;102
29;BA;2001;39
17;TO;2002;9
21;MA;2002;13
22;PI;2002;9
23;CE;2002;60
24;RN;2002;10
25;PB;2002;22
26;PE;2002;113
27;AL;2002;30
28;SE;2002;16
29;BA;2002;65
31;MG;2002;120
32;ES;2002;74
33;RJ;2002;225
35;SP;2002;533
41;PR;2002;86
53;DF;2002;31
52;GO;2002;62
51;MT;2002;37
50;MS;2002;30
43;RS;2002;76
42;SC;2002;32
11;RO;2002;17
12;AC;2002;6
13;AM;2002;17
14;RR;2002;7
15;PA;2002;31
16;AP;2002;5
13;AM;2003;19
27;AL;2003;29
26;PE;2003;132
25;PB;2003;14
24;RN;2003;17
23;CE;2003;44
22;PI;2003;19
21;MA;2003;30
17;TO;2003;7
16;AP;2003;8
15;PA;2003;47
14;RR;2003;3
28;SE;2003;12
12;AC;2003;9
11;RO;2003;24
53;DF;2003;26
52;GO;2003;66
51;MT;2003;38
50;MS;2003;26
43;RS;2003;61
42;SC;2003;30
41;PR;2003;102
35;SP;2003;522
33;RJ;2003;214
32;ES;2003;57
31;MG;2003;179
29;BA;2003;68
17;TO;2004;8
21;MA;2004;25
22;PI;2004;17
23;CE;2004;52
24;RN;2004;9
25;PB;2004;17
26;PE;2004;142
27;AL;2004;34
28;SE;2004;14
29;BA;2004;89
31;MG;2004;185
32;ES;2004;61
33;RJ;2004;205
35;SP;2004;401
41;PR;2004;119
42;SC;2004;23
43;RS;2004;80
50;MS;2004;23
51;MT;2004;49
52;GO;2004;59
53;DF;2004;26
11;RO;2004;15
12;AC;2004;4
13;AM;2004;19
14;RR;2004;6
15;PA;2004;43
16;AP;2004;8
28;SE;2005;11
27;AL;2005;36
26;PE;2005;134
25;PB;2005;25
24;RN;2005;21
23;CE;2005;59
22;PI;2005;14
21;MA;2005;30
17;TO;2005;8
16;AP;2005;6
15;PA;2005;57
14;RR;2005;2
13;AM;2005;23
12;AC;2005;7
11;RO;2005;26
53;DF;2005;19
52;GO;2005;54
51;MT;2005;34
50;MS;2005;30
43;RS;2005;77
42;SC;2005;27
41;PR;2005;100
35;SP;2005;340
33;RJ;2005;201
32;ES;2005;65
31;MG;2005;160
29;BA;2005;90
11;RO;2006;23
53;DF;2006;25
52;GO;2006;59
51;MT;2006;33
50;MS;2006;20
43;RS;2006;56
42;SC;2006;31
41;PR;2006;118
35;SP;2006;346
33;RJ;2006;196
32;ES;2006;78
31;MG;2006;186
29;BA;2006;123
28;SE;2006;18
27;AL;2006;55
26;PE;2006;137
25;PB;2006;24
24;RN;2006;15
23;CE;2006;51
22;PI;2006;19
21;MA;2006;30
17;TO;2006;8
16;AP;2006;3
15;PA;2006;55
14;RR;2006;5
13;AM;2006;26
12;AC;2006;4
22;PI;2007;12
11;RO;2007;10
12;AC;2007;8
13;AM;2007;28
14;RR;2007;3
15;PA;2007;66
16;AP;2007;7
17;TO;2007;11
21;MA;2007;31
23;CE;2007;50
24;RN;2007;20
25;PB;2007;29
26;PE;2007;139
27;AL;2007;56
28;SE;2007;12
29;BA;2007;124
31;MG;2007;176
32;ES;2007;79
33;RJ;2007;167
35;SP;2007;267
41;PR;2007;110
42;SC;2007;34
43;RS;2007;81
50;MS;2007;28
51;MT;2007;34
52;GO;2007;60
53;DF;2007;22
33;RJ;2008;158
32;ES;2008;89
31;MG;2008;190
29;BA;2008;161
28;SE;2008;15
27;AL;2008;41
12;AC;2008;5
53;DF;2008;35
52;GO;2008;57
51;MT;2008;38
50;MS;2008;27
43;RS;2008;83
42;SC;2008;32
13;AM;2008;26
14;RR;2008;3
15;PA;2008;82
16;AP;2008;4
17;TO;2008;11
21;MA;2008;37
11;RO;2008;15
41;PR;2008;137
26;PE;2008;135
25;PB;2008;30
24;RN;2008;29
23;CE;2008;42
22;PI;2008;16
35;SP;2008;242
27;AL;2009;55
41;PR;2009;158
35;SP;2009;248
33;RJ;2009;137
32;ES;2009;107
31;MG;2009;168
29;BA;2009;151
28;SE;2009;13
26;PE;2009;145
25;PB;2009;50
24;RN;2009;21
23;CE;2009;64
22;PI;2009;12
21;MA;2009;38
17;TO;2009;15
16;AP;2009;4
15;PA;2009;82
14;RR;2009;9
13;AM;2009;21
12;AC;2009;6
11;RO;2009;23
42;SC;2009;38
43;RS;2009;101
50;MS;2009;26
51;MT;2009;44
52;GO;2009;62
53;DF;2009;36
41;PR;2010;165
28;SE;2010;19
29;BA;2010;214
31;MG;2010;184
32;ES;2010;79
33;RJ;2010;132
35;SP;2010;281
11;RO;2010;10
12;AC;2010;7
13;AM;2010;32
14;RR;2010;7
15;PA;2010;115
16;AP;2010;4
17;TO;2010;18
21;MA;2010;52
22;PI;2010;11
23;CE;2010;62
24;RN;2010;31
25;PB;2010;52
26;PE;2010;119
27;AL;2010;64
43;RS;2010;92
50;MS;2010;25
51;MT;2010;28
52;GO;2010;85
53;DF;2010;32
42;SC;2010;42
11;RO;2011;19
53;DF;2011;38
52;GO;2011;103
51;MT;2011;35
50;MS;2011;33
43;RS;2011;92
42;SC;2011;34
41;PR;2011;118
35;SP;2011;201
33;RJ;2011;145
32;ES;2011;87
31;MG;2011;192
29;BA;2011;204
28;SE;2011;28
27;AL;2011;61
26;PE;2011;116
25;PB;2011;68
24;RN;2011;37
23;CE;2011;83
22;PI;2011;11
21;MA;2011;55
17;TO;2011;23
16;AP;2011;10
15;PA;2011;79
14;RR;2011;4
13;AM;2011;29
12;AC;2011;9
43;RS;2012;108
50;MS;2012;24
51;MT;2012;46
52;GO;2012;124
53;DF;2012;37
11;RO;2012;23
24;RN;2012;24
26;PE;2012;95
27;AL;2012;65
28;SE;2012;23
29;BA;2012;202
31;MG;2012;216
15;PA;2012;114
14;RR;2012;5
13;AM;2012;48
12;AC;2012;6
25;PB;2012;59
32;ES;2012;82
33;RJ;2012;129
35;SP;2012;218
16;AP;2012;8
41;PR;2012;138
42;SC;2012;39
23;CE;2012;94
22;PI;2012;20
21;MA;2012;42
17;TO;2012;17
33;RJ;2013;139
29;BA;2013;196
